Issue Type,Summary,Description,Priority,Labels,Epic Link,Story Points
Epic,Förbättring av Tile-hantering,"Gör det enklare att använda förstorade tiles i appen. Användare ska kunna se och använda förstorade tiles utan manuell konfiguration.",Highest,Tile Management,,0
Epic,Förbättring av Annoteringsflöde,"Gör TestLab ännu mer effektivt för att samla in annoteringsdata. Förbättra navigering, visualisering och feedback.",Highest,TestLab Annotation,,0
Epic,Datakvalitet och Validering,"Säkerställ att samlad data är av hög kvalitet. Automatisk validering och kvalitetsmätningar för GPS-data.",Medium,Data Quality Validation,,0
Epic,ML-Modell Integration,"Börja använda annoterad data för att förbättra GPS-positionsberäkningar. Implementera automatisk korrigeringsmodell.",Medium,ML Machine Learning,,0
Epic,Förbättrad Visualisering,"Bättre visuell representation av spår och avvikelser. Heatmap, animationer och interaktiva analysverktyg.",Low-Medium,Visualization UI,,0
Epic,Prestanda och Skalbarhet,"Säkerställ att systemet hanterar stora datamängder. Optimering av kartvisning, databas och frontend-prestanda.",Medium,Performance Optimization,,0
Epic,Avancerade Funktioner,"Flera samtidiga användare, mobilapp, API för extern integration. Funktioner för lång sikt.",Low,Advanced Features,,0
Epic,Tekniska Förbättringar,"Backend, frontend och DevOps-förbättringar. Felhantering, dokumentation, CI/CD, tester.",Medium,Tech Improvements,,0
Epic,Geofence-hantering och förbättringar,"Förbättringar av GeofenceEditor. Utökade funktioner för cirklar, polygoner, gömställen och geofence-analys.",Medium,Geofence Management,,0
Epic,Track-hantering och analys,"Förbättrad hantering av tracks (spår). Track-jämförelse, analysverktyg och track-statistik.",Medium,Track Management,,0
Epic,Offline-stöd och synkronisering,"Utöka offline-funktionalitet till TestLab. Förbättra synkronisering mellan offline och online data.",Medium,Offline Sync,,0
Epic,Användarupplevelse och onboarding,"Förbättra användarupplevelsen med bättre onboarding, hjälptexter, tutorials och användarguider.",Low-Medium,UX Onboarding,,0
Epic,Säkerhet och autentisering,"Implementera säkerhetsfunktioner som autentisering, auktorisering, dataskydd och säker lagring.",Medium,Security Authentication,,0
Epic,Dokumentation och support,"Förbättra dokumentation, lägg till användarguider, API-dokumentation och troubleshooting-guides.",Low,Documentation Support,,0
Epic,Integration och export,"Olika integrationsmöjligheter och export-format för att utbyta data med externa system.",Low,Integration Export,,0
Epic,Testning och kvalitetssäkring,"Omfattande testning, QA-processer, bugg-trackning och kvalitetssäkring för stabilare releases.",Medium,Testing QA,,0
Story,Automatisk detektering av lokala tiles,Implementera automatisk detektering av lokala tiles i TestLab. Kontrollera om /tiles/-mappen finns och innehåller data. Uppdatera localTilesAvailable state baserat på faktisk tillgänglighet. Visa tydlig indikator om lokala tiles är tillgängliga eller inte.,Highest,Tile Management Frontend,Förbättring av Tile-hantering,3
Story,Förbättra tile converter integration,"Validering av tile-struktur vid start. Förbättrad felhantering när tiles saknas. Automatisk upptäckt av tile-storlek (512, 768, 1024) baserat på faktiska filer.",Highest,Tile Management Tools,"Förbättring av Tile-hantering",2
Story,UI-förbättringar för tile-lager,"Tydlig markering när ""Lokal Högupplösning""-lager är aktivt. Lägg till information om tile-upplösning och område i settings. Varning om tile-området inte täcker nuvarande visning.",Highest,Tile Management UI,Förbättring av Tile-hantering,2
Story,Förbättrad visuell feedback för korrigeringar,"Visa tydligare skillnad mellan original och korrigerad position. Lägg till linje som visar korrigeringsavståndet (med etikett i meter). Färgkodning baserat på korrigeringsavstånd (grön = liten, röd = stor).",Highest,TestLab Annotation,"Förbättring av Annoteringsflöde",3
Story,Statistik och översikt i TestLab,"Dashboard med antal annoterade positioner per status. Visa genomsnittligt korrigeringsavstånd. Förloppsindikator: ""X av Y positioner annoterade"". Export-funktion för annoterade data (JSON/CSV).",Highest,TestLab Annotation Dashboard,Förbättring av Annoteringsflöde,5
Story,Förbättrad navigering i TestLab,"Snabbare navigering med piltangenter (vänster/höger). ""Hoppa till nästa ej märkt""-knapp. Filter: Visa endast pending/incorrect/correct positioner.",Highest,TestLab Annotation Navigation,Förbättring av Annoteringsflöde,2
Story,Automatisk validering av GPS-data,"Varning om position ligger långt utanför track-banan. Detektera potentiella fel: för snabba rörelser, plötsliga hopp. Jämför hundspår mot människaspår för avvikelsedetektering.",Medium,Data Quality Validation,Datakvalitet och Validering,5
Story,Kvalitetsmätningar och statistik,"Beräkna avvikelse mellan hund- och människaspår. Visa avståndsstatistik per track. Identifiera problemområden (där avvikelser är störst).",Medium,Data Quality Validation,Datakvalitet och Validering,3
Story,Data-export för ML-träning,"Strukturerad export med original + korrigerad position. Inkludera metadata (tid, noggrannhet, korrigeringsavstånd). Format som passar för ML-träning (t.ex. JSONL).",Medium,Data Quality ML Export,"Datakvalitet och Validering",3
Story,Dataanalys och förberedelse för ML,"Analysera annoterad data för mönster. Identifiera vanliga typer av GPS-fel (offset, drift, nois). Förbered träningsdata i lämpligt format.",Medium,ML Machine Learning,"ML-Modell Integration",5
Story,Enkel korrigeringsmodell,"Implementera grundläggande ML-modell (t.ex. linjär regression eller beslutsträd). Träna på annoterad data för att förutsäga korrigeringar. Integration i backend för automatisk position-korrektion.",Medium,ML Machine Learning,ML-Modell Integration,8
Story,Validering och testning av ML-modell,Testa modellens prestanda på testdata. Jämför automatiska korrigeringar mot manuella. Förbättra modell iterativt.,Medium,ML Machine Learning,ML-Modell Integration,5
Story,Heatmap-visualisering,Visa områden med högsta GPS-osäkerhet. Heatmap över korrigeringsavstånd. Identifiera problemområden visuellt.,Low-Medium,Visualization UI,Förbättrad Visualisering,5
Story,Förbättrad track-visualisering,"Visa både original och korrigerad track samtidigt. Animation av hundens rörelse över tiden. 3D-visualisering av elevation (om data finns).",Low-Medium,Visualization UI,Förbättrad Visualisering,5
Story,Interaktiva analysverktyg,"Zooma in på specifika avvikelser. Jämförelse mellan olika tracks. Export av visualiseringar (screenshots, video).",Low-Medium,Visualization UI,Förbättrad Visualisering,3
Story,Optimering av kartvisning,Lazy loading av positions för stora tracks. Clustering av markörer vid låg zoom. Debouncing av kartuppdateringar.,Medium,Performance Optimization,Prestanda och Skalbarhet,5
Story,Databasoptimering,Indexering för snabbare queries. Paginering av positions-listor. Caching av ofta använda queries.,Medium,Performance Optimization Database,Prestanda och Skalbarhet,5
Story,Frontend-prestanda,Memoization av beräkningar. Virtualisering av långa listor. Optimering av re-renders.,Medium,Performance Optimization Frontend,Prestanda och Skalbarhet,3
Story,Flera samtidiga användare,Realtids-synkronisering mellan användare. Konflikthantering för samtidiga redigeringar. Användarhantering och behörigheter.,Low,Advanced Features,Avancerade Funktioner,13
Story,Mobilapp,React Native eller PWA. GPS-spårning direkt från mobilen. Offline-stöd.,Low,Advanced Features Mobile,Avancerade Funktioner,21
Story,API för extern integration,REST API för externa system. Webhooks för händelser. OAuth-autentisering.,Low,Advanced Features API,Avancerade Funktioner,8
Story,Backend-förbättringar,Lägg till API-endpoint för tile-status. Förbättrad felhantering och logging. API-dokumentation med exempel. Automatiska backups av databas.,Medium,Tech Improvements Backend,Tekniska Förbättringar,5
Story,Frontend-förbättringar,"Förbättrad responsiv design för mobil. Tillgänglighetsförbättringar (a11y). Dark mode support. Internationellisering (i18n) för engelska/svenska.",Medium,Tech Improvements Frontend,Tekniska Förbättringar,8
Story,DevOps-förbättringar,CI/CD pipeline. Automatiserade tester. Docker Compose för lokal utveckling. Monitoring och alerting.,Medium,Tech Improvements DevOps,Tekniska Förbättringar,13
Task,Implementera tile detection i TestLab,Kontrollera om /tiles/-mappen finns och innehåller data. Skapa funktion som validerar tile-struktur.,Highest,Tile Management Frontend,Automatisk detektering av lokala tiles,2
Task,Uppdatera localTilesAvailable state,Uppdatera state baserat på faktisk tile-tillgänglighet. Använd useEffect för att kontrollera vid komponentmount och när tiles läggs till.,Highest,Tile Management Frontend,Automatisk detektering av lokala tiles,1
Task,Visa indikator för tile-tillgänglighet,Lägg till visuell indikator i UI som visar om lokala tiles är tillgängliga eller inte. T.ex. badge eller ikon.,Highest,Tile Management UI,Automatisk detektering av lokala tiles,1
Task,Validera tile-struktur vid start,Lägg till validering i tile_converter.py som kontrollerar att tile-struktur är korrekt.,Highest,Tile Management Tools,Förbättra tile converter integration,1
Task,Förbättra felhantering när tiles saknas,Lägg till try-catch och bättre felmeddelanden när tiles saknas eller är korrupta.,Highest,Tile Management Tools,Förbättra tile converter integration,1
Task,Automatisk upptäckt av tile-storlek,"Implementera funktion som läser första tile-filen och detekterar storleken (512, 768, 1024).",Highest,Tile Management Tools,"Förbättra tile converter integration",2
Task,Markering när lokal tile layer är aktiv,"Ändra UI visuellt när ""Lokal Högupplösning""-lager är aktivt (t.ex. markerad i layer control).",Highest,Tile Management UI,UI-förbättringar för tile-lager,1
Task,Information om tile-upplösning i settings,"Lägg till sektion i settings som visar tile-upplösning, område och tillgängliga zoom levels.",Highest,Tile Management UI,UI-förbättringar för tile-lager,2
Task,Varning om tile-område inte täcker visning,Lägg till varning/banner när användaren zoomar eller panorerar utanför tile-området.,Highest,Tile Management UI,UI-förbättringar för tile-lager,2
Task,Linje som visar korrigeringsavstånd,Lägg till linje mellan original och korrigerad position med etikett som visar avståndet i meter.,Highest,TestLab Annotation,Förbättrad visuell feedback för korrigeringar,2
Task,Färgkodning baserat på korrigeringsavstånd,"Implementera färgkodning där grön = liten korrigering, röd = stor korrigering. T.ex. gräns vid 10m.",Highest,TestLab Annotation,Förbättrad visuell feedback för korrigeringar,2
Task,Tydligare skillnad mellan original och korrigerad,Använd olika markörer eller färger för att tydligt skilja original från korrigerad position.,Highest,TestLab Annotation,Förbättrad visuell feedback för korrigeringar,1
Task,Dashboard med annoteringsstatistik,"Skapa dashboard-komponent som visar antal positioner per status (pending/correct/incorrect).",Highest,TestLab Annotation Dashboard,Statistik och översikt i TestLab,3
